id,date,cod_action
894903470,2021-03-07 17:41:37-03:00,menu_canais_noticias
861332304,2021-03-07 17:43:00-03:00,voltar
861332304,2021-03-07 17:45:44-03:00,menu_canais_noticias
894903470,2021-03-07 17:43:15-03:00,voltar
894903470,2021-03-07 17:45:48-03:00,menu_canais_noticias
861332304,2021-03-07 17:45:47-03:00,voltar
861332304,2021-03-07 17:47:01-03:00,menu_canais_noticias
861332304,2021-03-07 17:47:04-03:00,voltar
861332304,2021-03-07 17:47:37-03:00,menu_canais_noticias
861332304,2021-03-07 17:47:40-03:00,voltar
861332304,2021-03-07 17:49:56-03:00,menu_canais_noticias
861332304,2021-03-07 17:49:59-03:00,voltar
861332304,2021-03-07 17:50:42-03:00,menu_canais_noticias
861332304,2021-03-07 17:50:46-03:00,voltar
861332304,2021-03-07 17:52:37-03:00,menu_canais_noticias
861332304,2021-03-07 17:52:39-03:00,voltar
861332304,2021-03-07 17:52:49-03:00,menu_noticias_campus
861332304,2021-03-07 17:53:09-03:00,noticias_gama
861332304,2021-03-07 17:53:23-03:00,voltar
861332304,2021-03-07 17:53:25-03:00,menu_canais_noticias
861332304,2021-03-29 22:27:45-03:00,voltar
861332304,2021-04-04 22:44:35-03:00,voltar
861332304,2021-04-04 22:44:53-03:00,menu_noticias_campus
861332304,2021-04-04 22:44:57-03:00,noticias_brasilia
861332304,2021-04-04 22:45:07-03:00,voltar
861332304,2021-04-04 22:45:12-03:00,menu_canais_noticias
861332304,2021-04-04 22:45:36-03:00,voltar
861332304,2021-04-04 22:46:12-03:00,menu_busca_personalizada
861332304,2021-04-04 22:46:15-03:00,busca_personalizada_carrega_mais
861332304,2021-04-04 22:46:22-03:00,voltar
861332304,2021-04-04 22:46:36-03:00,menu_processo_seletivo
861332304,2021-04-04 22:46:45-03:00,voltar
861332304,2021-04-04 22:50:13-03:00,voltar
861332304,2021-04-04 22:50:41-03:00,menu_noticias_campus
861332304,2021-04-04 22:50:48-03:00,noticias_brasilia
861332304,2021-04-04 22:51:01-03:00,voltar
861332304,2021-04-04 22:51:14-03:00,menu_canais_noticias
861332304,2021-04-04 22:51:19-03:00,voltar
861332304,2021-04-04 22:52:26-03:00,menu_busca_personalizada
861332304,2021-04-04 22:52:29-03:00,busca_personalizada_carrega_mais
861332304,2021-04-04 22:52:37-03:00,voltar
861332304,2021-04-04 22:53:04-03:00,menu_processo_seletivo
861332304,2021-04-04 23:51:13-03:00,voltar
861332304,2021-04-04 23:51:37-03:00,menu_noticias_campus
861332304,2021-04-04 23:51:41-03:00,noticias_reitoria
861332304,2021-04-04 23:51:55-03:00,voltar
861332304,2021-04-04 23:52:09-03:00,menu_canais_noticias
861332304,2021-04-04 23:52:13-03:00,voltar
861332304,2021-04-04 23:53:01-03:00,menu_busca_personalizada
861332304,2021-04-04 23:53:05-03:00,busca_personalizada_carrega_mais
861332304,2021-04-04 23:53:15-03:00,voltar
861332304,2021-04-04 23:53:22-03:00,menu_processo_seletivo
